Gender,Married,Dependents,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status
1,1,1,1,9833,1833,182,180,2,1
1,1,3,0,2647,1587,173,360,1,0
1,1,0,0,2499,2458,160,360,0,1
1,1,2,0,3083,2168,126,360,2,1
0,1,0,0,2423,505,130,360,0,1
0,0,3,0,3813,0,116,180,2,1
1,1,1,0,3875,0,67,360,2,0
0,0,1,0,4723,0,81,360,0,0
1,1,0,0,4750,2333,130,360,2,1
1,0,0,0,2500,0,96,480,0,0
1,1,0,0,19730,5266,570,360,1,0
1,1,2,1,9323,7873,380,300,1,1
1,1,0,0,4817,923,120,180,2,1
1,1,2,0,5391,0,130,360,2,1
1,0,0,0,5941,4232,296,360,0,1
0,0,0,0,6000,0,156,360,2,1
1,0,0,0,2346,1600,132,360,0,1
1,1,2,0,3276,484,135,360,0,1
0,0,0,0,3180,0,71,360,2,0
1,1,0,0,3033,1459,95,360,2,1
0,0,0,0,1500,1800,103,360,0,0
1,1,2,0,2889,0,45,180,2,0
1,0,0,0,2755,0,65,300,1,0
0,0,0,0,1963,0,53,360,0,1
0,0,0,0,4547,0,115,360,0,1
1,1,1,0,8300,0,152,300,0,0
1,1,3,0,81000,0,360,360,1,0
0,0,1,1,3867,0,62,360,0,0
0,0,1,0,2600,0,160,360,2,0
0,0,0,0,2720,0,80,0,2,0
1,1,0,0,14880,0,96,360,0,1
1,1,0,0,2666,4300,121,360,1,1
0,0,1,0,4606,0,81,360,1,0
1,1,2,0,5935,0,133,360,0,1
1,1,0,0,2920,16.12000084,87,360,1,1
1,0,0,0,3750,0,100,360,2,1
1,0,0,0,3660,5064,187,360,0,1
1,1,2,0,1958,1456,60,300,2,1
1,1,0,0,4301,0,118,360,2,1
1,1,0,0,8334,0,160,360,0,0
0,0,1,1,5191,0,132,360,0,1
1,0,0,0,4166,0,98,360,0,0
1,1,0,0,16692,0,110,360,0,1
1,1,1,0,2653,1500,113,180,1,0
1,1,3,0,4691,0,100,360,0,1
0,0,0,1,2500,0,93,360,2,1
1,1,2,0,6700,1750,230,300,0,1
1,1,1,1,16667,2250,86,360,0,1
1,1,2,0,2947,1603,0,360,2,0
0,0,0,0,4350,0,154,360,1,1
1,1,0,0,10833,0,234,360,0,1
1,1,2,0,8333,0,246,360,0,1
1,1,1,0,1958,2436,131,360,1,1
1,1,2,1,4583,2083,160,360,0,1
1,0,0,0,2699,2785,96,360,0,1
1,1,1,0,5333,1131,186,360,2,1
1,0,0,0,3691,0,110,360,1,1
1,1,0,0,3597,2157,119,360,1,0
1,1,0,0,2600,1700,107,360,1,1
1,1,2,0,4865,5624,208,360,0,1
1,1,2,0,2192,1742,45,360,0,1
1,1,3,1,5677,1424,100,360,1,1
1,0,0,0,4680,2087,0,360,0,0
1,1,2,1,17500,0,400,360,1,1
1,0,0,0,6783,0,130,360,0,1
0,0,0,1,18165,0,125,360,2,1
1,1,0,0,6133,3906,324,360,2,1
1,1,0,0,2917,536,66,360,1,0
1,1,3,0,6417,0,157,180,1,1
0,0,0,0,2138,0,99,360,0,0
1,1,1,0,2239,2524,128,360,2,1
1,1,1,0,3333,3250,158,360,2,1
0,1,1,1,19484,0,600,360,0,1
1,1,3,0,5116,1451,165,360,2,0
1,1,2,0,16666,0,275,360,2,1
1,1,0,0,3087,2210,136,360,0,0
1,1,1,0,1782,2232,107,360,1,1
1,1,2,0,6540,0,205,360,0,1
1,1,0,0,2297,1522,104,360,2,1
0,0,0,0,2165,0,70,360,0,1
1,1,0,0,3859,3300,142,180,1,1
1,1,0,1,16120,0,260,360,2,1
1,0,0,0,3833,0,110,360,1,1
1,1,2,1,6383,1000,187,360,1,0
1,1,0,1,9963,0,180,360,1,1
1,0,0,0,3676,4301,172,360,1,1
0,1,1,0,12000,0,496,360,0,1
1,1,2,0,3987,1411,157,360,1,1
0,0,0,1,4583,0,133,360,0,0
